epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.1380479607664129,0.8850694344138827,0.8444462803042918,0.8027494246865919,0.8194142235457257,0.9828326180257511,0.9666196122717862,0.9675450596173398,0.9667590657684071,0.9993554884189325,0.8616636528028933,0.8694232861806311,0.5803430330772165,0.9101104085687567,0.7806211711538777,0.9173870221123367,0.8366661801196905,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9986314052248119,0.9504654255319149,0.8463983050847458,0.4510341614742426,0.9456503809396167,0.6169801424403861,0.9680806781445687,0.6447548986524487,1.0,1.0,1.0,0.9032258064516129,1.0,0.84,0.997134670487106,1.0
1,0.12200576583671142,0.9005257619214658,0.8484950403824763,0.8067037851431285,0.8239956079742299,0.9785407725321889,0.9590438546960286,0.9700235109717869,0.9640149574198096,0.9995166163141994,0.8592525617842074,0.8857453754080522,0.5870592883221623,0.9243065047043327,0.755436481602343,0.9390723374292573,0.8375711574952561,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9995166163141994,0.9760356042451215,0.7017241379310345,0.48879045842005864,0.9397309607033153,0.7116044305759336,0.9641975293065227,0.6720305436488417,1.0,1.0,1.0,0.896551724137931,1.0,0.875,0.9886363636363636,1.0
2,0.11593373875340794,0.9096259001712647,0.8462907034659679,0.8326100090960098,0.833541802334482,0.9763948497854077,0.9569028797289667,0.9775031599855544,0.9656599319287336,0.999436052366566,0.8577456298975287,0.8705114254624592,0.5073293008555392,0.9224386625952835,0.7782354263901762,0.956888654317248,0.8777404758429427,1.0,1.0,1.0,0.7272727272727273,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9991543170103093,0.9743238616912017,0.9060022650056625,0.610436763898337,0.9404337105645824,0.7213049754986682,0.9579103921290034,0.5513137869703137,1.0,1.0,1.0,0.9230769230769231,1.0,0.9166666666666666,0.9802816901408451,1.0
3,0.11140003867110786,0.9001539318655469,0.8484771867126422,0.8326378641410226,0.8375484949406995,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9995166163141994,0.8580470162748643,0.8759521218715995,0.57566345158302,0.9180704422047978,0.7811805871674354,0.9381378056505687,0.8412494526346519,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9995568804382855,0.966723259762309,0.9526627218934911,0.5178114086146682,0.9459632155234989,0.6671553565406377,0.9651669370040216,0.646063133351269,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
4,0.10795508207961019,0.9092350865608815,0.8373277011839142,0.8484632545966759,0.841097208255586,0.9742489270386266,0.9135893092414831,0.9732727889073571,0.938533191254803,0.9995166163141994,0.8589511754068716,0.8367791077257889,0.5522655441120375,0.9277693301814014,0.7522390351719107,0.955161521621723,0.8159392789373814,1.0,1.0,0.6666666666666666,0.7575757575757576,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9992348582474226,0.9700476514635806,0.9600499375780275,0.5651067804170848,0.9383671277967616,0.7155049192984653,0.9597925541766994,0.6796022077953656,1.0,1.0,1.0,0.8928571428571429,1.0,0.9130434782608695,0.9802816901408451,1.0
5,0.10506655071650287,0.9069455048181086,0.8443782839627618,0.8423763559965742,0.8414803796448919,0.9785407725321889,0.9590438546960286,0.974428862056224,0.9662659668049184,0.9994763343403826,0.8586497890295358,0.8585418933623504,0.566106751675658,0.9268143245877972,0.7763542529328207,0.9479181323127419,0.8211647934608086,1.0,1.0,1.0,0.7878787878787878,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997179580160361,0.9851313969571232,0.926056338028169,0.550164832982484,0.9415991068750961,0.7024364827312426,0.9622476168141527,0.6716571155682903,1.0,1.0,1.0,0.896551724137931,1.0,0.9130434782608695,0.9858356940509915,1.0
6,0.1026862391636151,0.9041706043785981,0.8422345553567757,0.8433870208250356,0.8404887424567316,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9992749244712991,0.8580470162748643,0.8356909684439608,0.5731976459048553,0.925564135447079,0.7779557183833974,0.9432153668728454,0.8249306670559042,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9994762288477035,0.9723360655737705,0.9660377358490566,0.5249499379292706,0.9391999718087222,0.7052398164398681,0.9629856618525737,0.6768707482993197,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
7,0.10055738748390886,0.904890741390339,0.8465202808529791,0.8271116917246881,0.8353334126650578,0.98068669527897,0.9628317334839074,0.9752099802371541,0.9687474120082815,0.999436052366566,0.8607594936708861,0.8911860718171926,0.5805405699961855,0.9260180731707922,0.7686046958038315,0.9450334336270463,0.8005838563713327,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996373892022562,0.966497461928934,0.8365679264555669,0.5324154474693586,0.9400628531713655,0.703728997398841,0.9628480568910256,0.6751354012801576,1.0,1.0,1.0,0.9,1.0,0.9130434782608695,0.9886363636363636,1.0
8,0.09881887201968208,0.9053087922745187,0.8413499740194585,0.8292042857771775,0.8336461422262276,0.9849785407725322,0.9720543948804818,0.9801816239316239,0.975784312817262,0.9994763343403826,0.8610608800482218,0.8770402611534276,0.5318579368971719,0.9230960041077643,0.7897308770217131,0.9484207273127204,0.8001167712742665,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9998791053798106,0.9757513661202186,0.8326446280991735,0.5566359883940601,0.9403357692268818,0.6718206164210998,0.961972423463426,0.69459438911275,1.0,1.0,1.0,0.9333333333333333,1.0,0.9166666666666666,0.9914529914529915,1.0
9,0.09717442422728217,0.8981755153416008,0.8470940307181458,0.8197141212227219,0.8293937338237654,0.9785407725321889,0.9606907585168455,0.970089516964517,0.9638856847086661,0.9993957703927493,0.861965039180229,0.8857453754080522,0.5326004032477795,0.9169715656386507,0.8015718493086824,0.937048440204405,0.8414538023646183,1.0,1.0,1.0,0.7575757575757576,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9998790956353525,0.9694915254237289,0.8905908096280087,0.5506648261873909,0.9402170042627654,0.6266448285176499,0.9657585730216335,0.6144663071052463,1.0,1.0,1.0,0.9259259259259259,1.0,0.8461538461538461,0.9886363636363636,1.0
