epoch,train_loss,window_accuracy,window_balanced_accuracy,window_macro_precision,window_macro_f1,cell_accuracy,cell_balanced_accuracy,cell_macro_precision,cell_macro_f1,window_recall_astrocyte,window_recall_microglia,window_recall_oligo,window_recall_putative_cge,window_recall_putative_parvalbumin,window_recall_putative_somatostatin,window_recall_pyramidal,window_recall_thalamocortical,cell_recall_astrocyte,cell_recall_microglia,cell_recall_oligo,cell_recall_putative_cge,cell_recall_putative_parvalbumin,cell_recall_putative_somatostatin,cell_recall_pyramidal,cell_recall_thalamocortical,window_precision_astrocyte,window_precision_microglia,window_precision_oligo,window_precision_putative_cge,window_precision_putative_parvalbumin,window_precision_putative_somatostatin,window_precision_pyramidal,window_precision_thalamocortical,cell_precision_astrocyte,cell_precision_microglia,cell_precision_oligo,cell_precision_putative_cge,cell_precision_putative_parvalbumin,cell_precision_putative_somatostatin,cell_precision_pyramidal,cell_precision_thalamocortical
0,0.10048805966597066,0.9287836081134061,0.8686230731870155,0.882463382388164,0.8744706846663304,0.9828326180257511,0.9666196122717862,0.9759652845206843,0.9711573598930149,0.9994763343403826,0.8568414707655214,0.8977149075081611,0.6119898098196284,0.9536363388310235,0.8017034766059902,0.9659378219941225,0.8616844256312947,1.0,1.0,1.0,0.8484848484848485,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996374038112888,0.9895579533588583,0.9637850467289719,0.6262415747175308,0.952485716975616,0.7885432849991368,0.9681327796741473,0.7713232988397617,1.0,1.0,1.0,0.9032258064516129,1.0,0.9130434782608695,0.9914529914529915,1.0
1,0.08191286023928356,0.9126236510327467,0.8727691635135608,0.8544218782907648,0.8601782049408865,0.9849785407725322,0.970407491059665,0.96828125,0.9691018673355629,0.999436052366566,0.85623869801085,0.8900979325353645,0.6233720233229797,0.9444856488704888,0.8380984243115618,0.93840876456865,0.892015764122026,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996776663040413,0.9961430575035063,0.9522700814901047,0.56113802195107,0.9629521911544531,0.6667495669550724,0.9762257071725562,0.7202187337953142,1.0,1.0,1.0,0.90625,1.0,0.84,1.0,1.0
2,0.07151900494745499,0.9276285000928544,0.8644967853552818,0.8781001595083247,0.8690964790407492,0.9849785407725322,0.970407491059665,0.976697399068323,0.9734991359290599,0.999436052366566,0.8565400843881856,0.8541893362350381,0.6084068988066046,0.9393583850731385,0.8113616295459407,0.9666351879170755,0.8800467085097066,1.0,1.0,1.0,0.8787878787878788,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9996776663040413,0.9847539847539848,0.9861809045226131,0.6265186162004434,0.9654230028935259,0.770831596498541,0.967396003008105,0.7240195018853424,1.0,1.0,1.0,0.90625,1.0,0.9130434782608695,0.9942857142857143,1.0
3,0.06446271111938796,0.9242770773579845,0.8734283911158953,0.8702260988130219,0.8704799979617597,0.98068669527897,0.9628317334839074,0.970806623931624,0.9664969099128378,0.9994763343403826,0.8568414707655214,0.9379760609357998,0.5897021960656095,0.9576969730043484,0.8210965650759874,0.9579319383147584,0.8667055904247555,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9995971315768271,0.9868101353696633,0.9441401971522454,0.6172454850738287,0.9408950669935516,0.752712445575119,0.971140208431828,0.7492681203311125,1.0,1.0,1.0,0.9,1.0,0.875,0.9914529914529915,1.0
4,0.05940895561348747,0.9104100035078307,0.8571683114502855,0.8634292489978376,0.8563732865998699,0.9849785407725322,0.9325287031808771,0.9726531974472519,0.9483475570643451,0.9994763343403826,0.8577456298975287,0.7997823721436343,0.6562108331971009,0.9436273841032498,0.8075170155704123,0.9365863968792414,0.8564005254707342,1.0,1.0,0.6666666666666666,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9997582399871061,0.9961498074903745,1.0,0.5166520078942852,0.95261145348415,0.7015595294252184,0.9767247251018634,0.7639782285997031,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,0.997134670487106,1.0
5,0.055691457746371686,0.913467181148505,0.8632508287116689,0.8637244691174951,0.8601158954777242,0.9892703862660944,0.9779832486354225,0.9781010230179028,0.9779904823707549,0.999436052366566,0.8586497890295358,0.8356909684439608,0.620735927197428,0.9370812548525447,0.8387072005616099,0.9420811488166592,0.8736242884250475,1.0,1.0,1.0,0.9393939393939394,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9991945551931054,0.9906119610570236,0.9948186528497409,0.5743122735150464,0.95663690370678,0.6721490890710503,0.9744082991591662,0.7476640183880477,1.0,1.0,1.0,0.9117647058823529,1.0,0.9130434782608695,1.0,1.0
6,0.05284011568401979,0.921030889544601,0.8532449971067642,0.8709215257801365,0.8588927562811501,0.9785407725321889,0.9228119706380575,0.9704202047952049,0.9412763950911798,0.999436052366566,0.85623869801085,0.7976060935799782,0.5785311427170181,0.9460880738405364,0.8168735226206995,0.9573869483820189,0.8737994453364473,1.0,1.0,0.6666666666666666,0.7878787878787878,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9988727404484883,0.9902405019170443,0.9986376021798365,0.5987564240847661,0.9539560895816555,0.733619012436892,0.9685967140273896,0.7246931215650195,1.0,1.0,1.0,0.9285714285714286,1.0,0.8461538461538461,0.9886363636363636,1.0
7,0.05057782558173901,0.921698615438582,0.8595100602526284,0.8756416015434249,0.865193428705862,0.9828326180257511,0.9682665160926031,0.9753109342764514,0.971106226185675,0.9994763343403826,0.8565400843881856,0.8498367791077258,0.5681434254264073,0.9451082629068386,0.8358936670816582,0.95761674120597,0.8634651875638593,1.0,1.0,1.0,0.8181818181818182,0.9714285714285714,0.9565217391304348,1.0,1.0,0.999033660814946,0.9944016794961511,0.9936386768447837,0.6134655271325812,0.9511862054158772,0.7182523786858438,0.9696784934810254,0.7654761904761904,1.0,1.0,1.0,0.9310344827586207,1.0,0.88,0.9914529914529915,1.0
8,0.04889608460449348,0.9191837071580381,0.8534090557465659,0.8726607694899993,0.8604559361151313,0.98068669527897,0.9265998494259364,0.974958855799373,0.9459284211580845,0.999436052366566,0.8547317661241712,0.8335146898803046,0.5728025720669173,0.9379295974837463,0.8275627560562268,0.9565716139505135,0.8447233980440811,1.0,1.0,0.6666666666666666,0.8181818181818182,0.9714285714285714,0.9565217391304348,1.0,1.0,0.9996776663040413,0.9978888106966924,0.9883870967741936,0.6115559434202392,0.9520879076606974,0.6924955024415317,0.9702935926647953,0.768899635957803,1.0,1.0,1.0,0.9310344827586207,1.0,0.88,0.9886363636363636,1.0
9,0.04753459971247889,0.9121878546520026,0.8603880924887833,0.857661298380709,0.8561722553202011,0.9871244635193133,0.9741953698475437,0.9730113636363636,0.9735268970930395,0.999436052366566,0.8574442435201929,0.8356909684439608,0.6158383739305759,0.950332267530554,0.8174164852220936,0.9398612518302015,0.8670850970661217,1.0,1.0,1.0,0.9090909090909091,0.9714285714285714,0.9130434782608695,1.0,1.0,0.9990336219045701,0.9864771151178918,0.9770992366412213,0.5482218112360914,0.9474837455576962,0.6931992595555473,0.9743227173218632,0.7354528797107909,1.0,1.0,1.0,0.9090909090909091,1.0,0.875,1.0,1.0
