run,window_nm,best_epoch,cls_resnet,frozen_agg,layer,row_type,n_rows,gamma_0_mean,gamma_1_mean,ratio_mean,gamma_0_p5,gamma_0_p25,gamma_0_p50,gamma_0_p75,gamma_0_p95,gamma_1_p5,gamma_1_p25,gamma_1_p50,gamma_1_p75,gamma_1_p95,ratio_p5,ratio_p25,ratio_p50,ratio_p75,ratio_p95,nbr_mass_biased_mean,nbr_mass_unbiased_mean,nbr_mass_delta_mean,nbr_mass_delta_p50,nbr_share_uniform_mean
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,0,cls,2423696,1.9878326654434204,0.1655934751033783,0.0833035260438919,1.9724227361148534,1.9724227361148534,1.9724227361148534,1.9724227361148534,1.9724227361148534,0.16405897731995386,0.16405897731995386,0.16405897731995386,0.16405897731995386,0.16405897731995386,0.08413951416451956,0.08413951416451956,0.08413951416451956,0.08413951416451956,0.08413951416451956,0.06643003115959521,0.057959600183873645,0.00847043097572156,0.0075,0.09051883693440424
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,0,node,25927130,5.6932448573134495,0.8811659673365246,0.20130677987650966,2.7227013080779154,3.67282300498085,4.731512589614803,6.839116472814292,12.161860006463678,0.2786121168629772,0.48417236758409943,0.7673614893618194,1.188502227437019,1.8407720014689544,0.03427677865464505,0.07673614893618194,0.16032453906900418,0.285101826750391,0.5069907082747045,0.43876580587837405,0.28946924973528987,0.1492965561427316,0.1225,0.23813424067005273
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,1,cls,2423696,4.075903528904548,0.4702921969665005,0.13445146873828193,1.9275249131909367,2.985382618917963,4.027170343254594,4.954501908047906,6.531305526474729,0.23713737056616552,0.3198895109691397,0.4120975190973304,0.5821032177708716,0.8810488730080147,0.04841723675840994,0.07328245331389044,0.10592537251772886,0.17179083871575876,0.31260793671239556,0.11504963067720902,0.07835227576442273,0.036697354912539594,0.0325,0.09051883693440424
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,1,node,25927130,10.291948977219462,1.035416347467389,0.1480773455285558,3.2734069487883795,5.82103217770871,9.225714271547629,13.645831365889238,21.134890398366476,0.4415704473533125,0.6683439175686149,0.9225714271547638,1.273503081016663,2.01836636368156,0.027861211686297693,0.05821032177708716,0.10351421666793441,0.19275249131909367,0.4120975190973304,0.42388088824310577,0.24465399836482,0.1792268898781844,0.1525,0.23813424067005273
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,2,cls,2423696,2.8778631878643592,0.8444057967787489,0.5405369753642559,0.5821032177708716,1.0115794542598984,1.7579236139586931,3.3496543915782793,9.440608762859245,0.5821032177708716,0.6839116472814293,0.8035261221856177,0.9660508789898131,1.2161860006463678,0.10839269140212039,0.2600159563165272,0.46238102139926035,0.7328245331389045,1.2161860006463678,0.1743816099244649,0.08600265799075633,0.08837895193285733,0.0825,0.09051883693440424
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,2,node,25927130,3.625752839434552,1.9829743410840968,0.8454718976261724,0.8222426499470712,1.5667510701081502,2.6607250597988084,4.5185594437492265,9.885530946569391,1.1350108156723142,1.4288939585111036,1.8407720014689544,2.371373705661655,3.2734069487883795,0.22646443075930595,0.4518559443749226,0.716143410212902,1.0839269140212038,1.9275249131909367,0.6593862334937854,0.23618202098454652,0.42320421251150875,0.41250000000000003,0.23813424067005273
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,3,cls,2423696,12.744298356888411,0.6853947030351681,0.05746330055564403,7.852356346100726,10.592537251772898,12.445146117713843,14.621771744567184,18.407720014689545,0.34276778654645046,0.5559042572704037,0.6839116472814293,0.8035261221856177,1.0115794542598984,0.027227013080779128,0.04120975190973304,0.053088444423098846,0.06839116472814293,0.10115794542598983,0.050816968572758976,0.02734032368692766,0.023476644885332527,0.0125,0.09051883693440424
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,3,node,25927130,2.314419697655254,0.9432223226997412,0.4991460250837065,1.0115794542598984,1.5667510701081502,2.16271852372702,2.85101826750391,4.216965034285822,0.518800038928961,0.7673614893618194,0.9440608762859236,1.1091748152624008,1.3645831365889238,0.17988709151287874,0.2917427014001166,0.4216965034285822,0.6237348354824191,1.0839269140212038,0.43932514795508393,0.23753430057657637,0.2017908473785544,0.1975,0.23813424067005273
gnn_lcpn_scratch_gt_L4_H4_frozenagg,10000.0,13,False,True,0,cls,2423696,1.0891354084014893,1.1449984312057495,1.0512911081314087,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.1350108156723142,1.1350108156723142,1.1350108156723142,1.1350108156723142,1.1350108156723142,1.0592537251772898,1.0592537251772898,1.0592537251772898,1.0592537251772898,1.0592537251772898,0.25824191833586,0.10175951036873536,0.15648240797023102,0.1525,0.09051883693440424
gnn_lcpn_scratch_gt_L4_H4_frozenagg,10000.0,13,False,True,0,node,25927130,1.0561221367602363,1.0980688499712188,1.040290589249712,1.0115794542598984,1.035142166679343,1.0592537251772898,1.0839269140212038,1.0839269140212038,1.0592537251772898,1.0839269140212038,1.1091748152624008,1.1091748152624008,1.1350108156723142,0.9885530946569391,1.0115794542598984,1.035142166679343,1.0592537251772898,1.1091748152624008,0.47869382703310026,0.2402365028025784,0.2384573242308289,0.2425,0.23813424067005273
