run,window_nm,best_epoch,cls_resnet,frozen_agg,layer,row_type,n_rows,gamma_0_mean,gamma_1_mean,ratio_mean,gamma_0_p5,gamma_0_p25,gamma_0_p50,gamma_0_p75,gamma_0_p95,gamma_1_p5,gamma_1_p25,gamma_1_p50,gamma_1_p75,gamma_1_p95,ratio_p5,ratio_p25,ratio_p50,ratio_p75,ratio_p95,nbr_mass_biased_mean,nbr_mass_unbiased_mean,nbr_mass_delta_mean,nbr_mass_delta_p50,nbr_share_uniform_mean
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,0,cls,6144,1.9878326654434204,0.1655934751033783,0.0833035260438919,1.9724227361148534,1.9724227361148534,1.9724227361148534,1.9724227361148534,1.9724227361148534,0.16405897731995386,0.16405897731995386,0.16405897731995386,0.16405897731995386,0.16405897731995386,0.08413951416451956,0.08413951416451956,0.08413951416451956,0.08413951416451956,0.08413951416451956,0.029150155170858245,0.025039129895200556,0.004111025275657691,0.0025,0.08899263237435662
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,0,node,67434,4.677743404178244,0.6788874512672721,0.17575511719112966,2.6001595631652723,3.3496543915782793,4.027170343254594,5.0699070827470445,9.660508789898142,0.23173946499684797,0.38459178204535355,0.5821032177708716,0.8810488730080147,1.4288939585111036,0.030549211132155123,0.08413951416451956,0.14962356560944343,0.23713737056616552,0.4216965034285822,0.40566056201380135,0.2914890448515492,0.11417151716067776,0.0925,0.23279275520886908
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,1,cls,6144,3.622647650016006,0.4124618280717793,0.1282678080315236,2.01836636368156,2.7227013080779154,3.3496543915782793,4.120975190973304,6.095368972401694,0.2600159563165272,0.3349654391578276,0.4027170343254591,0.48417236758409943,0.6095368972401694,0.059566214352901034,0.08609937521846008,0.11614486138403426,0.15667510701081502,0.23713737056616552,0.09568921184260641,0.06647838500127061,0.029210826841335802,0.0275,0.08899263237435662
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,1,node,67434,9.54409790791258,1.3778488670002649,0.18322712159743906,3.8459178204535354,6.095368972401694,8.810488730080147,11.88502227437019,17.988709151287875,0.638263486190549,0.9660508789898131,1.2445146117713843,1.6405897731995387,2.5409727055493065,0.050699070827470445,0.09440608762859236,0.14621771744567183,0.23173946499684797,0.4415704473533125,0.46494376729839304,0.23019430932974236,0.23474945799200533,0.2125,0.23279275520886908
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,2,cls,6144,4.227924518781947,0.945764513865773,0.3134365334820662,1.2161860006463678,2.3173946499684797,3.58921934645005,5.432503314924336,9.440608762859245,0.6839116472814293,0.8413951416451956,0.9440608762859236,1.0592537251772898,1.2161860006463678,0.10351421666793441,0.17579236139586932,0.26607250597988114,0.39355007545577764,0.716143410212902,0.17234361738580142,0.07919293314641133,0.09315068424378599,0.08750000000000001,0.08899263237435662
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,2,node,67434,4.669112342516769,2.505677050505541,0.7535292376200166,1.3031667784523,2.4831331052955727,3.758374042884443,5.688529308438413,10.83926914021204,1.3963683610559392,1.9275249131909367,2.4266100950824145,2.985382618917963,3.8459178204535354,0.22130947096056386,0.43151907682776547,0.6531305526474723,0.9440608762859236,1.6405897731995387,0.7356266119669941,0.22264146647601757,0.5129851454963213,0.5175,0.23279275520886908
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,3,cls,6144,11.048835519701242,0.42273837663621333,0.041584631027641684,6.531305526474729,8.035261221856176,9.660508789898142,12.445146117713843,20.183663636815595,0.2722701308077913,0.32734069487883827,0.38459178204535355,0.48417236758409943,0.6839116472814293,0.02065380155810529,0.03126079367123956,0.03935500754557776,0.049545019080479,0.06998419960022738,0.025505307819096934,0.017260416330033664,0.008244891487942985,0.0025,0.08899263237435662
gnn_lcpn_scratch_gt_L4_H4,10000.0,4,False,False,3,node,67434,1.6553240180520268,0.660979005545497,0.4730656504338031,0.8035261221856177,1.0839269140212038,1.4288939585111036,2.0653801558105314,3.126079367123956,0.43151907682776547,0.5308844442309885,0.6237348354824191,0.7498942093324559,0.9885530946569391,0.19275249131909367,0.30549211132155124,0.43151907682776547,0.5956621435290104,0.8810488730080147,0.36673926762140713,0.23257894243802057,0.13416032518515433,0.1275,0.23279275520886908
gnn_lcpn_scratch_gt_L4_H4_frozenagg,10000.0,13,False,True,0,cls,6144,1.0891354084014893,1.1449984312057495,1.0512911081314087,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.1350108156723142,1.1350108156723142,1.1350108156723142,1.1350108156723142,1.1350108156723142,1.0592537251772898,1.0592537251772898,1.0592537251772898,1.0592537251772898,1.0592537251772898,0.2590799611789407,0.10225008586530748,0.15682987534698137,0.1525,0.08899263237435662
gnn_lcpn_scratch_gt_L4_H4_frozenagg,10000.0,13,False,True,0,node,67434,1.0577981510933323,1.0865348487872333,1.0275927840820125,1.035142166679343,1.035142166679343,1.0592537251772898,1.0839269140212038,1.0839269140212038,1.035142166679343,1.0592537251772898,1.0839269140212038,1.1091748152624008,1.1350108156723142,0.9660508789898131,1.0115794542598984,1.035142166679343,1.0592537251772898,1.0839269140212038,0.46947881392167834,0.235960224459886,0.23351858946753767,0.23750000000000002,0.23279275520886908
