root_id,cell_type,split,graph_node_index,skeleton_node_id,x_nm,y_nm,z_nm,center_vox_x,center_vox_y,center_vox_z,ng_x,ng_y,ng_z,clipped,seg_resolution_nm
864691136742244188,L4IT,train,2986,2986,808320.0,787672.0,908000.0,25260,24614,22700,202080.0,196918.0,22700.0,False,32x32x40
864691136742244188,L4IT,train,3004,3004,810376.0,788568.0,907440.0,25324,24642,22686,202594.0,197142.0,22686.0,False,32x32x40
864691136742244188,L4IT,train,3022,3022,811232.0,789272.0,906840.0,25351,24664,22671,202808.0,197318.0,22671.0,False,32x32x40
864691136742244188,L4IT,train,3023,3023,812184.0,789536.0,906680.0,25380,24673,22667,203046.0,197384.0,22667.0,False,32x32x40
864691136742244188,L4IT,train,3038,3038,813680.0,789672.0,905160.0,25427,24677,22629,203420.0,197418.0,22629.0,False,32x32x40
864691136742244188,L4IT,train,3044,3044,816400.0,790152.0,904320.0,25512,24692,22608,204100.0,197538.0,22608.0,False,32x32x40
864691136742244188,L4IT,train,3046,3046,818296.0,790376.0,904360.0,25571,24699,22609,204574.0,197594.0,22609.0,False,32x32x40
864691136742244188,L4IT,train,3048,3048,819992.0,791064.0,904600.0,25624,24720,22615,204998.0,197766.0,22615.0,False,32x32x40
864691136742244188,L4IT,train,3050,3050,821576.0,791152.0,905000.0,25674,24723,22625,205394.0,197788.0,22625.0,False,32x32x40
864691136742244188,L4IT,train,3051,3051,822576.0,791736.0,905120.0,25705,24741,22628,205644.0,197934.0,22628.0,False,32x32x40
864691136742244188,L4IT,train,3053,3053,824016.0,792256.0,905160.0,25750,24758,22629,206004.0,198064.0,22629.0,False,32x32x40
864691136742244188,L4IT,train,3055,3055,826560.0,792880.0,906360.0,25830,24777,22659,206640.0,198220.0,22659.0,False,32x32x40
864691136742244188,L4IT,train,3057,3057,827728.0,792824.0,907280.0,25866,24775,22682,206932.0,198206.0,22682.0,False,32x32x40
864691136742244188,L4IT,train,3059,3059,830592.0,792784.0,908240.0,25956,24774,22706,207648.0,198196.0,22706.0,False,32x32x40
864691136742244188,L4IT,train,3061,3061,832328.0,793032.0,908640.0,26010,24782,22716,208082.0,198258.0,22716.0,False,32x32x40
864691136742244188,L4IT,train,3062,3062,833336.0,793960.0,909000.0,26041,24811,22725,208334.0,198490.0,22725.0,False,32x32x40
864691136742244188,L4IT,train,3064,3064,834264.0,794704.0,908920.0,26070,24834,22723,208566.0,198676.0,22723.0,False,32x32x40
864691136742244188,L4IT,train,3065,3065,835488.0,795576.0,908960.0,26109,24861,22724,208872.0,198894.0,22724.0,False,32x32x40
864691136742244188,L4IT,train,3067,3067,836400.0,796360.0,908840.0,26137,24886,22721,209100.0,199090.0,22721.0,False,32x32x40
864691136742244188,L4IT,train,3069,3069,837792.0,797464.0,908560.0,26181,24920,22714,209448.0,199366.0,22714.0,False,32x32x40
864691136742244188,L4IT,train,3070,3070,838856.0,797984.0,907880.0,26214,24937,22697,209714.0,199496.0,22697.0,False,32x32x40
864691136742244188,L4IT,train,3072,3072,840352.0,798600.0,907640.0,26261,24956,22691,210088.0,199650.0,22691.0,False,32x32x40
864691136742244188,L4IT,train,3073,3073,841464.0,800584.0,906640.0,26295,25018,22666,210366.0,200146.0,22666.0,False,32x32x40
864691136742244188,L4IT,train,3074,3074,841680.0,802048.0,906400.0,26302,25064,22660,210420.0,200512.0,22660.0,False,32x32x40
864691136742244188,L4IT,train,3076,3076,842080.0,802320.0,906280.0,26315,25072,22657,210520.0,200580.0,22657.0,False,32x32x40
864691136927732810,L3IT,train,1571,1571,728000.0,517984.0,738680.0,22750,16187,18467,182000.0,129496.0,18467.0,False,32x32x40
864691136927732810,L3IT,train,1572,1572,728008.0,519528.0,739160.0,22750,16235,18479,182002.0,129882.0,18479.0,False,32x32x40
864691136927732810,L3IT,train,1649,1649,730144.0,507512.0,740800.0,22817,15859,18520,182536.0,126878.0,18520.0,False,32x32x40
864691136927732810,L3IT,train,1651,1651,730648.0,509416.0,740760.0,22832,15919,18519,182662.0,127354.0,18519.0,False,32x32x40
