root_id,cell_type,n_embeddings,n_skeleton_nodes,nearest_median_nm,nearest_p95_nm,nearest_p99_nm,nearest_max_nm,fraction_within_100nm,fraction_within_500nm,fraction_within_1000nm,fraction_finite_radius,embedding_center_x,skeleton_center_x,embedding_center_y,skeleton_center_y,embedding_center_z,skeleton_center_z
864691134886037498,NMC,10572,121767,77.91725186763185,263.41464642319943,730.7077305969274,4582.63212183375,0.6316685584562997,0.9832576617480137,0.9928111993946274,1.0,1196768.0,1196896.0,593668.0,572864.9375,719960.0,717642.9375
864691134918921738,L3IT,3968,41213,72.93429966449602,268.6249925364005,884.7478423176987,5521.665477419947,0.6524697580645161,0.9841229838709677,0.9916834677419355,1.0,762140.0,759678.9375,643820.0,671354.0,904520.0,897587.75
864691134919403530,L4IT,4354,56678,59.620560931944794,203.61791038313427,863.3971977041107,4100.651081116571,0.7655029857602205,0.9846118511713366,0.9926504363803399,1.0,731728.0,734591.4375,674308.0,690370.71875,859000.0,860849.65625
864691134919529994,L6CT,2975,28716,74.64423433025487,259.12231105207707,726.288527273674,2750.345733948734,0.6447058823529411,0.9835294117647059,0.9949579831932773,1.0,719552.0,719351.5,860960.0,863081.5625,920400.0,925014.09375
864691134941412707,L3IT,3943,51773,60.57514057969655,214.36973419516468,733.0459246564963,3306.4330525885443,0.7565305604869389,0.9852903880294193,0.9936596500126808,1.0,745936.0,743748.25,572992.0,584024.9375,878360.0,873867.625
864691134949081852,L4IT,3505,46372,60.87593845529201,205.20384414843463,970.7910235557995,4874.955256605567,0.7586305278174037,0.9825962910128389,0.9902995720399429,1.0,731664.0,736783.8125,631072.0,631188.9375,902360.0,901537.5625
864691134949221372,L2IT,6245,83333,60.1981753253369,211.79271209437718,953.1008709139845,2993.394667064886,0.7750200160128102,0.9819055244195356,0.9911929543634908,1.0,668056.0,678559.625,635448.0,669622.9375,814120.0,825861.75
864691134949248508,L5IT,9388,133823,56.66863295444705,182.9303665902791,862.9998006787896,3677.7132044332247,0.7985726459309758,0.985939497230507,0.9917980400511291,1.0,741488.0,745823.5625,708900.0,703195.375,893540.0,889381.75
864691134966069023,L4IT,4022,56687,58.28442405486132,185.3323218337497,724.6261150101838,2954.484154160841,0.7839383391347589,0.9853306812531079,0.9942814520139234,1.0,839912.0,839063.125,642248.0,651427.0625,741900.0,743780.5
864691134966710559,L4IT,4976,70947,56.51553457407302,209.5139739782552,1430.4615496598035,5918.572900267534,0.7946141479099679,0.9758842443729904,0.9837218649517685,1.0,776360.0,783949.1875,653040.0,648804.0625,884200.0,889227.375
864691134991010426,L2IT,6237,76038,63.79450039972098,241.27720898720688,884.9886611234447,2641.2313246204412,0.7190957190957191,0.9817219817219818,0.9926246592913259,1.0,727672.0,728061.1875,540536.0,540792.71875,835040.0,831875.15625
864691135014355094,L4IT,5033,73510,58.10624697483051,205.30147557866326,1032.5459680019844,3470.146037768079,0.7776673951917346,0.9797337572024637,0.9894695012914763,1.0,1301872.0,1301936.125,655696.0,651984.59375,733920.0,748512.3125
864691135014696182,L6IT,9805,139664,57.10030921544996,194.50218657908093,774.2656545975883,4855.159004701854,0.7927587965323815,0.9867414584395716,0.993676695563488,1.0,734416.0,750493.09375,837184.0,832910.125,914640.0,901539.625
864691135015154934,L4IT,4266,56734,58.669076399889605,213.0641329682059,898.4076366045226,3588.710867624508,0.7702766057196437,0.9819503047351149,0.9910923581809657,1.0,729444.0,729899.9375,700624.0,706100.1875,802700.0,798406.15625
864691135015425942,ITC,1902,20115,78.29674870115642,263.4370090932798,497.5089413366823,4728.453987645566,0.6272344900105152,0.9900105152471083,0.9952681388012619,1.0,748752.0,776277.625,804936.0,906558.875,795360.0,794907.875
864691135015652246,L2IT,4695,51757,70.5593168015394,259.1115604687051,1069.9900073779536,3926.1299199641244,0.6685835995740149,0.9761448349307774,0.9887113951011715,1.0,744120.0,746354.75,543520.0,566097.4375,846560.0,842695.25
864691135059954075,L6CT,1877,16906,81.2780720735919,281.5272409145836,1020.2865619563664,5013.141787155536,0.6148108684070325,0.9765583377730421,0.9893446989877464,1.0,794568.0,806297.21875,914456.0,885290.34375,978320.0,984142.46875
864691135060651419,L2IT,8589,109745,61.88159687055595,266.5942951974438,1300.4974482745715,6023.0774568140205,0.7344277564326465,0.9724065665385959,0.9842822214460356,1.0,718864.0,720568.0,517088.0,545224.0,869320.0,877479.125
